No,x,y,z,avg_M_x,avg_M_y,avg_M_z,avg_M_tot
362,3,0,0,-8.056,-17.728,-41.075,45.457
363,3,0,0,-7.502,-16.858,-40.407,44.421
364,3,0,0,-7.647,-16.57,-40.239,44.184
365,3,0,0,-6.837,-16.396,-42.055,45.653
366,3,0,0,-6.512,-17.568,-41.239,45.296
367,3,0,0,-7.076,-18.145,-42.07,46.36
368,3,0,0,-8.534,-16.406,-42.386,46.244
369,3,0,0,-7.416,-16.247,-42.715,46.298
370,3,0,0,-8.072,-17.288,-41.402,45.587
371,3,0,0,-7.095,-17.13,-41.731,45.665
372,3,0,0,-7.386,-16.554,-41.396,45.19
373,3,0,0,-8.052,-18.446,-41.908,46.49
374,3,0,0,-6.835,-15.682,-40.892,44.326
375,3,0,0,-7.649,-17.284,-41.402,45.512
376,3,0,0,-7.088,-16.849,-40.903,44.801
377,3,0,0,-8.088,-16.991,-41.895,45.927
378,3,0,0,-7.751,-18.17,-40.418,44.988
379,3,0,0,-6.537,-17.121,-42.061,45.881
380,3,0,0,-7.423,-14.811,-41.05,44.267
381,3,0,0,-6.274,-16.247,-41.889,45.365
382,3,0,0,-6.813,-17.127,-41.731,45.621
383,3,0,0,-8.922,-16.433,-40.403,44.52
384,3,0,0,-7.4,-16.544,-42.222,45.947
385,3,0,0,-7.775,-17.582,-40.909,45.201
386,3,0,0,-6.977,-16.541,-42.222,45.88
387,3,0,0,-7.773,-17.869,-41.242,45.614
388,4,0,0,-6.182,-13.207,-40.375,42.928
389,4,0,0,-5.031,-15.218,-41.88,44.842
390,4,0,0,-4.813,-13.884,-43.685,46.091
391,4,0,0,-5.309,-14.794,-41.05,43.956
392,4,0,0,-5.376,-13.46,-43.021,45.397
393,4,0,0,-5.065,-13.477,-41.369,43.803
394,4,0,0,-5.066,-14.05,-42.2,44.765
395,4,0,0,-6.898,-13.921,-42.034,44.813
396,4,0,0,-6.033,-13.784,-40.711,43.402
397,4,0,0,-7.024,-14.076,-41.374,44.264
398,4,0,0,-6.215,-13.614,-42.857,45.395
399,4,0,0,-7.761,-12.772,-41.363,43.98
400,4,0,0,-7.167,-13.646,-40.875,43.684
401,4,0,0,-5.759,-14.492,-42.204,44.993
402,4,0,0,-6.049,-12.771,-40.206,42.618
403,4,0,0,-5.763,-13.774,-41.372,43.983
404,4,0,0,-6.051,-13.057,-40.704,43.173
405,4,0,0,-5.496,-13.618,-42.031,44.523
406,4,0,0,-6.293,-14.088,-39.887,42.768
407,4,0,0,-5.904,-13.632,-41.205,43.801
408,4,0,0,-5.799,-12.319,-41.359,43.542
409,4,0,0,-7.156,-14.655,-41.71,44.785
410,4,0,0,-5.088,-12.317,-41.028,43.138
411,4,0,0,-5.935,-13.181,-42.358,44.757
412,4,0,0,-6.641,-12.9,-42.025,44.459
413,4,0,0,-5.788,-12.755,-41.363,43.67
414,4,0,0,-5.795,-13.037,-42.191,44.538
415,4,0,0,-5.81,-13.027,-43.017,45.32
416,4,0,0,-6.91,-13.197,-41.697,44.278
417,4,0,0,-6.891,-13.64,-41.205,43.948
418,4,0,0,-6.892,-13.925,-41.703,44.504
419,4,0,0,-6.616,-13.919,-42.034,44.77
420,4,0,0,-4.998,-14.811,-39.398,42.386
421,4,0,0,-6.177,-14.356,-41.707,44.539
422,4,0,0,-6.357,-13.472,-42.691,45.215
423,4,0,0,-6.154,-14.372,-40.385,43.306
424,4,0,0,-5.49,-13.622,-41.701,44.211
425,4,0,0,-4.497,-13.905,-41.703,44.19
426,4,0,0,-6.334,-14.06,-42.2,44.929
427,4,0,0,-6.892,-13.925,-41.703,44.504
428,4,0,0,-6.378,-12.026,-41.852,44.01
429,4,0,0,-6.197,-14.342,-42.863,45.622
430,4,0,0,-5.08,-13.467,-42.195,44.582
431,4,0,0,-6.321,-13.783,-41.041,43.753
432,4,0,0,-5.75,-15.214,-42.706,45.698
433,4,0,0,-6.07,-12.758,-41.363,43.709
434,4,0,0,-6.623,-12.483,-40.369,42.771
435,4,0,0,-6.165,-13.935,-40.382,43.161
436,4,0,0,-6.887,-14.358,-42.037,44.953
437,4,0,0,-6.323,-14.497,-42.204,45.07
438,4,0,0,-6.899,-13.634,-41.701,44.412
439,4,0,0,-6.598,-14.647,-42.04,45.005
440,4,0,0,-6.045,-13.777,-41.372,44.022
441,4,0,0,-4.612,-14.497,-41.047,43.776
442,4,0,0,-6.874,-14.653,-41.71,44.74
443,4,0,0,-7.45,-14.506,-42.204,45.245
444,4,0,0,-6.751,-13.495,-41.039,43.725
445,4,0,0,-5.913,-13.626,-41.701,44.267
446,4,0,0,-6.577,-14.375,-40.385,43.369
447,4,0,0,-7.183,-13.206,-41.201,43.858
448,4,0,0,-6.335,-13.773,-41.867,44.527
449,4,0,0,-6.91,-13.197,-41.697,44.278
450,4,0,0,-6.344,-13.051,-41.365,43.837
451,4,0,0,-6.344,-13.051,-41.365,43.837
452,4,0,0,-8.241,-12.736,-44.667,47.173
453,4,0,0,-5.745,-14.502,-41.378,44.22
454,4,0,0,-6.052,-14.058,-42.2,44.89
455,4,0,0,-7.164,-15.365,-43.203,46.41
456,4,0,0,-7.897,-13.206,-41.697,44.445
457,4,0,0,-5.458,-14.36,-40.881,43.672
458,4,0,0,-8.176,-13.066,-41.365,44.144
459,4,0,0,-5.913,-13.626,-41.701,44.267
460,4,0,0,-6.908,-14.344,-43.194,46.035
461,4,0,0,-6.86,-14.663,-40.884,43.972
462,4,0,0,-6.64,-13.187,-42.358,44.857
463,4,0,0,-6.319,-14.07,-41.374,44.156
464,4,0,0,-6.032,-14.072,-41.044,43.806
465,4,0,0,-4.434,-16.095,-41.226,44.478
466,4,0,0,-5.953,-12.454,-42.351,44.544
467,4,0,0,-5.784,-13.473,-42.195,44.67
468,4,0,0,-6.317,-14.501,-41.873,44.761
469,4,0,0,-7.199,-12.909,-41.695,44.237
470,4,0,0,-6.079,-13.753,-43.354,45.888
471,4,0,0,-5.211,-13.189,-41.201,43.573
472,4,0,0,-6.623,-13.628,-42.031,44.679
473,4,0,0,-5.904,-13.632,-41.205,43.801
474,4,0,0,-6.27,-15.248,-40.228,43.475
475,4,0,0,-6.273,-15.962,-41.391,44.803
476,4,0,0,-7.443,-14.797,-42.207,45.34
477,4,0,0,-6.147,-14.663,-40.388,43.405
478,4,0,0,-7.038,-14.066,-42.2,45.036
479,4,0,0,-5.901,-13.205,-40.375,42.888
480,4,0,0,-7.045,-13.775,-42.198,44.945
481,4,0,0,-6.754,-12.777,-40.206,42.725
482,4,0,0,-7.581,-15.373,-42.872,46.172
483,4,0,0,-6.746,-14.5,-42.204,45.132
484,4,0,0,-7.145,-15.092,-41.713,44.931
485,4,0,0,-5.51,-12.464,-41.195,43.39
486,4,0,0,-5.457,-14.647,-41.214,44.078
487,4,0,0,-6.772,-13.767,-42.693,45.366
488,5,0,0,-5.276,-18.634,-36.457,41.282
489,5,0,0,-4.584,-18.906,-37.616,42.349
490,5,0,0,-5.177,-17.03,-36.609,40.706
491,5,0,0,-5.755,-17.168,-37.601,41.734
492,5,0,0,-5.138,-19.204,-37.453,42.402
493,5,0,0,-4.579,-18.91,-37.286,42.057
494,5,0,0,-5.683,-18.219,-34.967,39.836
495,5,0,0,-3.632,-17.873,-38.103,42.243
496,5,0,0,-5.875,-18.472,-38.273,42.902
497,5,0,0,-5.277,-18.92,-36.955,41.851
498,5,0,0,-5.86,-18.482,-37.447,42.169
499,5,0,0,-5.623,-17.018,-37.93,41.951
500,5,0,0,-5.589,-18.043,-37.443,41.938
501,5,0,0,-4.596,-17.61,-36.448,40.739
502,5,0,0,-4.591,-18.186,-36.949,41.437
503,5,0,0,-6,-17.625,-36.118,40.634
504,5,0,0,-4.16,-18.045,-36.287,40.739
505,5,0,0,-5.298,-18.906,-38.112,42.872
506,5,0,0,-4.876,-18.759,-37.945,42.609
507,5,0,0,-5.131,-19.495,-37.456,42.536
508,5,0,0,-4.593,-17.183,-35.619,39.812
509,5,0,0,-4.262,-18.931,-35.303,40.285
510,5,0,0,-5.691,-18.929,-36.46,41.473
